epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,815.642,1.07737,0.55046,0.00194,0.68281,0.7979,0.81909,0.54668,1.39055,0.77779,0.00249,0.000376942,0.000376942,0.000376942
43,834.287,1.10724,0.58428,0.00197,0.68614,0.86285,0.82419,0.56595,1.35564,0.6979,0.00245,0.000373339,0.000373339,0.000373339
44,853.309,1.08562,0.51615,0.00194,0.7277,0.75634,0.84151,0.57615,1.35322,0.69364,0.00244,0.000369673,0.000369673,0.000369673
45,872.304,1.07785,0.55884,0.00184,0.74611,0.7682,0.82395,0.53904,1.40354,0.74997,0.00254,0.000365946,0.000365946,0.000365946
46,890.94,1.04596,0.49121,0.00187,0.67661,0.81168,0.81291,0.55524,1.31199,0.8084,0.00236,0.000362159,0.000362159,0.000362159
47,909.734,1.04437,0.48787,0.00176,0.6996,0.81473,0.81567,0.55559,1.35838,0.74187,0.00243,0.000358314,0.000358314,0.000358314
48,928.554,1.04589,0.54776,0.00186,0.73089,0.80313,0.82283,0.55429,1.367,0.75566,0.00246,0.000354413,0.000354413,0.000354413
49,947.085,1.03715,0.51693,0.00181,0.75271,0.84317,0.85338,0.56763,1.35472,0.68674,0.00245,0.000350457,0.000350457,0.000350457
50,965.676,1.02679,0.50805,0.00177,0.6927,0.82425,0.83284,0.55764,1.35837,0.7211,0.00243,0.000346448,0.000346448,0.000346448
51,984.503,1.05979,0.52408,0.00186,0.77822,0.70041,0.8058,0.52866,1.38958,0.85716,0.00247,0.000342387,0.000342387,0.000342387
52,1003.08,1.06319,0.49671,0.00191,0.73564,0.80141,0.80635,0.53266,1.3653,0.76956,0.00245,0.000338278,0.000338278,0.000338278
53,1021.77,1.01275,0.46505,0.00176,0.69523,0.78187,0.81575,0.5441,1.35426,0.74881,0.00247,0.000334121,0.000334121,0.000334121
54,1040.26,1.02713,0.47528,0.00187,0.68169,0.84356,0.82129,0.54968,1.36209,0.71243,0.00244,0.000329918,0.000329918,0.000329918
55,1058.85,1.009,0.4664,0.00174,0.77288,0.81013,0.81861,0.54627,1.3708,0.74664,0.00248,0.000325671,0.000325671,0.000325671
56,1077.58,0.94931,0.44848,0.00169,0.69992,0.82148,0.80729,0.5402,1.34573,0.76866,0.00244,0.000321382,0.000321382,0.000321382
57,1096.1,0.97449,0.46686,0.00176,0.73251,0.78559,0.78426,0.52835,1.36827,0.79094,0.00244,0.000317053,0.000317053,0.000317053
58,1114.75,1.00011,0.48148,0.00169,0.74301,0.7668,0.79021,0.53365,1.37107,0.7932,0.00246,0.000312686,0.000312686,0.000312686
59,1133.24,0.9978,0.46219,0.00173,0.65788,0.81811,0.79599,0.52816,1.40072,0.76143,0.00247,0.000308282,0.000308282,0.000308282
60,1151.85,0.95805,0.47051,0.00171,0.71394,0.78312,0.815,0.5488,1.37304,0.74355,0.00245,0.000303844,0.000303844,0.000303844
61,1170.46,0.96205,0.4416,0.00164,0.82111,0.68059,0.82687,0.56432,1.38364,0.76616,0.00249,0.000299373,0.000299373,0.000299373
62,1189.02,0.96472,0.45733,0.00168,0.80331,0.74301,0.84234,0.56605,1.37068,0.74398,0.00248,0.000294872,0.000294872,0.000294872
63,1207.56,0.92642,0.41609,0.00163,0.75936,0.75448,0.82182,0.55532,1.31884,0.76719,0.00239,0.000290342,0.000290342,0.000290342
64,1226.36,0.91398,0.42946,0.00162,0.75847,0.75678,0.82304,0.56252,1.33756,0.82668,0.00239,0.000285786,0.000285786,0.000285786
65,1244.89,0.93292,0.45677,0.00156,0.79402,0.74384,0.82269,0.55599,1.35519,0.85112,0.00242,0.000281205,0.000281205,0.000281205
66,1263.42,0.90501,0.39549,0.00147,0.77902,0.77205,0.82972,0.54923,1.36279,0.74081,0.00242,0.000276602,0.000276602,0.000276602
67,1282.05,0.90855,0.41629,0.00167,0.7451,0.79961,0.83445,0.5727,1.29316,0.75195,0.00232,0.000271978,0.000271978,0.000271978
68,1301.08,0.92055,0.40245,0.00154,0.81611,0.72129,0.8251,0.5565,1.36497,0.7624,0.00244,0.000267335,0.000267335,0.000267335
69,1319.7,0.88943,0.40336,0.00159,0.78748,0.75988,0.83066,0.55606,1.36193,0.75603,0.00247,0.000262677,0.000262677,0.000262677
70,1338.2,0.90554,0.3912,0.00157,0.8126,0.73121,0.82763,0.55686,1.35225,0.73044,0.00242,0.000258003,0.000258003,0.000258003
