match,frame_pos,track_id,system_label,judgment,note
M01,55,136,TARGET,correct,
M01,55,141,TARGET,correct,
M01,55,143,TARGET,correct,
M01,75,210,TARGET,correct,
M01,75,271,TARGET,correct,
M01,75,230,OTHER,correct,
M01,75,249,OTHER,wrong,own white kit labeled opponent
M01,95,399,TARGET,correct,
M01,95,407,OTHER,correct,
M01,95,398,OTHER,correct,
M01,95,384,OTHER,correct,
M02,55,189,TARGET,correct,
M02,55,155,TARGET,correct,
M02,55,1,TARGET,correct,
M02,55,181,TARGET,correct,
M02,55,84,OTHER,correct,
M02,55,5,OTHER,correct,referee
M02,55,183,OTHER,correct,
M02,75,229,TARGET,correct,
M02,75,235,TARGET,correct,
M02,95,277,TARGET,correct,
M02,95,269,TARGET,correct,
M02,95,272,TARGET,correct,
M02,95,274,TARGET,wrong,opponent maroon kit labeled target
M02,95,287,TARGET,wrong,opponent maroon kit labeled target
M02,95,308,OTHER,correct,
M02,95,346,OTHER,correct,
M02,95,360,OTHER,correct,
M02,95,348,OTHER,correct,
M02,95,317,OTHER,correct,
M02,95,270,OTHER,correct,
M02,95,280,OTHER,correct,
M02,95,282,OTHER,correct,
M02,95,345,OTHER,correct,
M02,95,356,OTHER,correct,
M03,55,69,TARGET,correct,
M03,55,63,OTHER,wrong,own black kit labeled opponent
M03,55,81,OTHER,correct,
M03,55,67,OTHER,correct,
M03,75,174,TARGET,wrong,opponent white kit labeled target
M03,75,155,TARGET,correct,
M03,75,182,TARGET,correct,
M03,75,197,OTHER,wrong,own black kit labeled opponent
M03,75,188,OTHER,correct,
M03,75,183,OTHER,correct,
M03,75,195,OTHER,correct,
M03,95,212,TARGET,correct,
M03,95,240,OTHER,correct,
M04,55,56,TARGET,correct,
M04,55,57,TARGET,correct,
M04,55,52,TARGET,correct,
M04,75,82,TARGET,correct,
M04,75,73,TARGET,correct,
M04,75,72,TARGET,correct,
M04,75,62,TARGET,correct,
M04,75,84,OTHER,correct,
M04,75,90,OTHER,correct,
M04,95,115,TARGET,correct,
M04,95,97,OTHER,correct,
M04,95,90,OTHER,correct,
M04,95,117,OTHER,correct,
M05,55,156,TARGET,correct,
M05,55,149,TARGET,correct,
M05,55,154,TARGET,wrong,sideline steward hi-vis labeled target
M05,55,159,TARGET,wrong,sideline steward hi-vis labeled target
M05,55,153,OTHER,correct,
M05,55,150,OTHER,correct,
M05,55,179,OTHER,correct,
M05,55,155,OTHER,correct,
M05,55,177,OTHER,correct,
M05,55,161,OTHER,correct,
M05,55,174,OTHER,correct,sideline staff
M05,55,160,OTHER,correct,sideline staff
M05,55,185,OTHER,correct,sideline staff
M05,55,190,OTHER,correct,sideline staff
M05,55,165,OTHER,correct,sideline staff
M05,75,349,TARGET,correct,
M05,75,224,TARGET,correct,
M05,75,214,TARGET,correct,
M05,75,206,TARGET,correct,
M05,75,299,TARGET,correct,
